Make,Body_Type,MAE,RMSE,N
Soueast Motor,Sedan,420.8346918990085,426.92619552437657,13
JAC Motors,MPV,424.0396596222252,536.7679771434221,12
Dongfeng Peugeot,SUV,426.85435587064705,518.4998487446097,16
Jiangqi Group,MPV,430.1562862511635,506.9702786811073,5
SAIC Maxus,MPV,434.5140360935156,567.2046428083203,12
Dongfeng Nissan,Hatchback,437.06763703826755,537.7254703586001,16
Great Wall New Energy,Sedan,438.3930450438304,496.57391414247087,9
FAW Haima,Hatchback,440.23753224405283,673.2249246061506,5
Huatai Auto,Sedan,440.9442053558874,443.27869044926643,4
Aiways,SUV,443.0193683911727,484.1353798163846,6
SWM SWM Auto,SUV,468.25169702081394,558.6572266326992,16
Yema Auto,SUV,469.43966710654365,552.1496115378054,11
SAIC-GM Chevrolet,Hatchback,477.2520139487406,568.0551480121483,15
GAC Acura,SUV,481.27661525896366,1368.7902716975793,14
Ruijie Auto,SUV,487.6585131224976,592.5302062251307,6
WM Motor,SUV,488.296677150499,585.3391618906197,7
FAW-Volkswagen,MPV,498.2162298041,550.6418742538813,7
FAW Bestune,SUV,498.2369889125383,617.9179955420393,16
Cowin Auto,SUV,499.9289616769042,795.4705181686102,16
JAC Motors,SUV,512.9540506591327,572.5413291294577,8
SAIC Maxus,SUV,513.787192955265,587.7730000913562,15
Changan Ford,SUV,529.6151282597267,629.9922755564018,16
FAW Haima,MPV,533.0322215953531,567.9327338780951,13
Dongfeng Xiaokang,SUV,534.4874430746655,675.6974648725718,16
BEIJING Auto,SUV,548.8462675629536,743.0451624399518,14
Lantu Auto,SUV,555.7251616003562,756.9351081631274,7
GAC Toyota,MPV,571.7417620746451,880.2442161043631,6
Soueast Motor,SUV,577.164365539601,1186.7620756809804,14
BAIC New Energy,Hatchback,607.4523259321894,768.4447084803453,12
SAIC Skoda,Hatchback,617.1383741741668,802.0176611101291,14
Qoros Auto,Hatchback,679.2440772882888,806.155976835635,6
BYD,MPV,699.9513788395997,785.1907055235288,16
Reading,Hatchback,715.8985278894955,1034.6916535766081,5
Jiangling Ford,SUV,720.4374412912157,786.3213956788186,16
FAW Hongqi,MPV,720.824568373614,724.2579320136787,4
Volvo Asia-Pacific,Sedan,736.057718989748,825.8988814543312,16
Hozon Auto,Sedan,740.9218117957948,845.976314065284,4
Dongfeng Fengxing,MPV,746.9997354716745,1057.9842722538733,16
SAIC Group,MPV,755.8305733700811,889.3251246844775,15
Kia,Hatchback,760.6255655247681,951.4154684166667,6
SAIC-GM Chevrolet,SUV,775.6715528700449,895.0046097032333,16
Zotye Auto,SUV,807.7040855552685,944.3499227585087,6
GAC Motor,Sedan,843.8728284829474,1062.5780802798338,16
GAC FCA Jeep,SUV,852.9325101252044,997.7003594463154,11
FAW Bestune,MPV,884.2936403918728,1044.0177382149063,7
Dongfeng Citroën,Hatchback,887.711946203949,1037.8586279409503,15
Chery New Energy,SUV,912.061108784074,1804.1954995218807,12
Exeed,SUV,925.7990085981705,1148.4702629353237,11
XPeng,SUV,939.6011304972782,1543.9790434857523,13
BAIC Changhe,MPV,944.2136394207517,1020.3207533719607,4
Denza,SUV,958.4150354181919,1009.6460701443083,7
Lynk & Co,Sedan,981.9192743215738,1184.3813874230618,14
Dongfeng Venucia,SUV,1023.0106357940905,1307.1159022312936,13
Changan Mazda,SUV,1023.5066862762467,1399.1098254535912,16
FAW Toyota,Hatchback,1023.7765927551435,1191.0568729474273,15
JAC Motors,Hatchback,1056.5902419046447,1229.343279899132,7
NIO,Hatchback,1081.8154240392375,1287.0566900296224,4
Volvo Asia-Pacific,SUV,1093.2769937452072,1406.4532330424695,16
Bisu Auto,MPV,1118.8472751623199,1680.0536175161317,9
FAW-Volkswagen Jetta,SUV,1184.7664360265865,1512.7274108176136,11
GAC Honda,MPV,1202.3845304984363,1497.501661669692,16
Changan Auto,Sedan,1208.9058795001406,1644.4758008797728,15
Changan Ford,Hatchback,1217.8215384529888,1403.5547862272085,15
Changan Lincoln,SUV,1221.1083481791486,2470.2645166004045,10
Hanteng Auto,SUV,1236.566877741954,1242.5473819938534,7
Leapmotor,Sedan,1238.5068173118489,1333.044756948515,4
SAIC Volkswagen,MPV,1262.7282205274423,1331.5435348747176,16
Beijing Hyundai,Sedan,1268.187715595751,1490.8637507223389,16
smart,SUV,1287.0939804307113,1317.2768936184116,4
Avita Technology,SUV,1312.497345009062,1359.6179539356408,4
SAIC Group,SUV,1320.3026803600308,1900.7105444461697,16
SAIC MG,Sedan,1321.6441428891317,1421.9609809637686,5
Brilliance BMW,Sedan,1324.1620059430675,1677.4830898358223,15
Huatai New Energy,Hatchback,1330.5629141145314,1592.5322496288495,4
Changan Ford,Sedan,1364.4203342334413,1977.7485273714417,16
XPeng,Sedan,1369.4594112654272,1726.281652261964,9
FAW Bestune,Sedan,1385.6298992942723,2847.384148575663,8
Beijing Off-road,SUV,1412.179923549072,1672.7583432740885,16
SAIC Group,Sedan,1420.390269618998,1876.0983142115977,16
FAW-Volkswagen,Hatchback,1425.2626556446417,1607.0896396082508,16
Brilliance China,Sedan,1448.0713653450287,2594.2381644230613,8
Qoros Auto,SUV,1454.2161784402888,1640.8754858818318,9
Dongfeng Venucia,Sedan,1503.6200049430504,1638.9311956531958,13
SAIC Group,Hatchback,1548.8982370208746,1873.123718296499,11
GAC Motor,MPV,1563.8845673583892,1854.9282089667145,16
SAIC Audi,Sedan,1579.8347854992187,2048.668898429045,6
GAC Mitsubishi,SUV,1612.7982225029587,1970.6395007058973,14
Dongfeng Honda,MPV,1620.513958236222,1835.935618053871,14
FAW-Volkswagen Audi,SUV,1625.7210558757913,2368.2148773239555,16
Geely New Energy,Sedan,1627.0863578826165,1875.8864330353078,15
Lynk & Co,SUV,1658.4666335956056,2067.412047188128,16
Dongfeng Passenger Vehicle,SUV,1674.7619088399683,2129.6666397644244,16
IM Motors,SUV,1678.9708816623158,1730.589780241657,4
FAW Toyota,MPV,1689.423280439066,1787.0421691020804,4
Changan Mazda,Sedan,1724.0066313687755,2191.3134700037986,11
Chery New Energy,Hatchback,1728.7930823244928,2110.0470426854076,13
FAW-Volkswagen Audi,Hatchback,1749.6359763481232,3039.4054091798366,16
Dongfeng Motor,SUV,1758.9358953333608,1995.117702934619,4
GM Cadillac,Sedan,1775.709732245947,2073.7741710050477,14
Jiangqi Group,SUV,1812.9074282336705,1946.2065134270208,9
FAW Bestune,Hatchback,1827.1114255202485,2303.2284873118324,11
Ruijie Auto,MPV,1863.7641392773087,2340.7228869549217,5
Ruijie Auto,Sedan,1867.2253907855902,2368.211529581289,5
Changan Mazda,Hatchback,1922.4855399551893,2447.66515495953,16
Brilliance BMW,SUV,1932.279690247336,2594.5349978318436,15
SAIC-GM-Wuling,SUV,1932.8459103845662,2489.0876503290115,16
